count,rank,word
"56271872
",1,the
"33950064
",2,of
"29944184
",3,and
"25956096
",4,to
"17420636
",5,in
"11764797
",6,i
"11073318
",7,that
"10078245
",8,was
"8799755
",9,his
"8397205
",10,he
"8058110
",11,it
"7725512
",12,with
"7557477
",13,is
"7097981
",14,for
"7037543
",15,as
"6139336
",16,had
"6048903
",17,you
"5741803
",18,not
"5662527
",19,be
"5202501
",20,her
"5113263
",21,on
"5091841
",22,at
"5061050
",23,by
"4580906
",24,which
"4346500
",25,have
"4228287
",26,or
"4108111
",27,from
"4015425
",28,this
"3971997
",29,him
"3894211
",30,but
"3703342
",31,all
"3415846
",32,she
"3340398
",33,they
"3323884
",34,were
"3277699
",35,my
"3224178
",36,are
"3027134
",37,me
"2832569
",38,one
"2820265
",39,their
"2802481
",40,so
"2641417
",41,an
"2637136
",42,said
"2509917
",43,them
"2491655
",44,we
"2472663
",45,who
"2400858
",46,would
"2357654
",47,been
"2320022
",48,will
"2241145
",49,no
"1980046
",50,when
"1961200
",51,there
"1951102
",52,if
"1899787
",53,more
"1875351
",54,out
"1792712
",55,up
"1703963
",56,into
"1680164
",57,do
"1665366
",58,any
"1658553
",59,your
"1605908
",60,what
"1602329
",61,has
"1573117
",62,man
"1571110
",63,could
"1533530
",64,other
"1508779
",65,than
"1498473
",66,our
"1476767
",67,some
"1462382
",68,very
"1449681
",69,time
"1424595
",70,upon
"1414687
",71,about
"1400642
",72,may
"1373270
",73,its
"1318367
",74,only
"1317723
",75,now
"1280625
",76,like
"1273589
",77,little
"1255636
",78,then
"1210074
",79,can
"1192154
",80,should
"1188501
",81,made
"1185720
",82,did
"1171742
",83,us
"1136757
",84,such
"1135294
",85,a
"1120163
",86,great
"1117089
",87,before
"1108116
",88,must
"1093366
",89,two
"1090510
",90,these
"1084286
",91,see
"1075612
",92,know
"1056659
",93,over
"1021822
",94,much
"989808
",95,down
"978575
",96,after
"978196
",97,first
"974419
",98,Mr
"966602
",99,good
"923053
",100,men
"922130
",101,own
"899673
",102,never
"889691
",103,most
"887917
",104,old
"883846
",105,shall
"882331
",106,day
"881975
",107,where
"878621
",108,those
"873144
",109,came
"873007
",110,come
"863478
",111,himself
"860027
",112,way
"829823
",113,work
"825485
",114,life
"819684
",115,without
"816536
",116,go
"807600
",117,make
"799596
",118,well
"792925
",119,through
"792220
",120,being
"791686
",121,long
"788124
",122,say
"787455
",123,might
"770603
",124,how
"761957
",125,am
"758856
",126,too
"750750
",127,even
"748992
",128,def
"745230
",129,again
"744168
",130,many
"740270
",131,back
"729829
",132,here
"715780
",133,think
"704444
",134,every
"701741
",135,people
"690186
",136,went
"689376
",137,same
"680833
",138,last
"674623
",139,thought
"673810
",140,away
"671168
",141,under
"656486
",142,take
"654512
",143,found
"648227
",144,hand
"647788
",145,eyes
"640067
",146,still
"621773
",147,place
"613918
",148,while
"610168
",149,just
"608042
",150,also
"591821
",151,young
"588615
",152,yet
"570877
",153,though
"569459
",154,against
"567559
",155,things
"564674
",156,get
"559207
",157,ever
"554003
",158,give
"552668
",159,god
"547420
",160,years
"545832
",161,off
"544251
",162,face
"541692
",163,nothing
"536737
",164,right
"534154
",165,once
"533985
",166,another
"531797
",167,left
"526137
",168,part
"520922
",169,saw
"517564
",170,house
"517557
",171,world
"512481
",172,head
"502146
",173,three
"501669
",174,took
"498040
",175,new
"496496
",176,love
"495834
",177,always
"495443
",178,Mrs
"495189
",179,put
"484878
",180,night
"484599
",181,each
"479849
",182,king
"479034
",183,between
"475277
",184,tell
"470313
",185,mind
"467157
",186,heart
"466338
",187,few
"465587
",188,because
"461472
",189,thing
"458312
",190,whom
"456267
",191,far
"447884
",192,seemed
"447491
",193,looked
"445602
",194,called
"435059
",195,whole
"433393
",196,de
"432637
",197,set
"432491
",198,both
"432016
",199,got
"431120
",200,find
"430389
",201,done
"429972
",202,heard
"428871
",203,look
"427021
",204,name
"426104
",205,days
"424696
",206,told
"424320
",207,let
"422407
",208,lord
"420788
",209,country
"420044
",210,asked
"419315
",211,going
"418862
",212,seen
"416463
",213,better
"415673
",214,p
"415355
",215,having
"413499
",216,home
"413101
",217,knew
"405810
",218,side
"398727
",219,something
"390988
",220,moment
"387790
",221,father
"387549
",222,among
"385303
",223,course
"385081
",224,hands
"384156
",225,woman
"382266
",226,enough
"380328
",227,words
"373898
",228,mother
"373813
",229,soon
"371831
",230,full
"369761
",231,end
"369036
",232,gave
"366719
",233,room
"366630
",234,almost
"359970
",235,small
"355857
",236,thou
"355656
",237,cannot
"355467
",238,water
"354212
",239,want
"352828
",240,however
"351253
",241,light
"350537
",242,quite
"349925
",243,brought
"349691
",244,nor
"349685
",245,word
"344377
",246,whose
"344141
",247,given
"342388
",248,door
"337544
",249,best
"337367
",250,turned
"335210
",251,taken
"334332
",252,does
"333883
",253,use
"330567
",254,morning
"328630
",255,myself
"328324
",256,Gutenberg
"326524
",257,felt
"326391
",258,until
"326386
",259,since
"326243
",260,power
"325793
",261,themselves
"325791
",262,used
"325719
",263,rather
